"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDEA","EQ","22-Feb-2016","        108.40","        108.50","        110.95","        108.15","        109.20","        109.50","        109.79","    1909091","       2096.04","      23728","     679199","         35.58"
"IDEA","EQ","23-Feb-2016","        109.50","        109.50","        110.00","        104.25","        106.10","        106.75","        106.47","    2581921","       2749.09","      23317","     860924","         33.34"
"IDEA","EQ","24-Feb-2016","        106.75","        106.00","        108.25","        104.25","        105.00","        104.70","        105.93","    2789633","       2954.94","      14039","    1210731","         43.40"
"IDEA","EQ","25-Feb-2016","        104.70","        105.10","        107.55","        103.65","        106.90","        106.25","        105.60","    6941995","       7330.71","      29141","    4312315","         62.12"
"IDEA","EQ","26-Feb-2016","        106.25","        106.25","        106.45","        103.35","        105.05","        105.65","        104.95","    2028471","       2128.81","      18998","     647778","         31.93"
"IDEA","EQ","29-Feb-2016","        105.65","        105.00","        106.25","        102.80","        105.20","        104.30","        104.39","    4249669","       4436.07","      40209","    1788531","         42.09"
"IDEA","EQ","01-Mar-2016","        104.30","        104.00","        106.00","        103.15","        105.80","        105.45","        105.04","    3560097","       3739.64","      23586","    2290035","         64.33"
"IDEA","EQ","02-Mar-2016","        105.45","        105.70","        108.50","        105.40","        106.50","        106.75","        107.17","    2916532","       3125.57","      26586","    1299726","         44.56"
"IDEA","EQ","03-Mar-2016","        106.75","        107.00","        109.70","        106.25","        108.50","        108.35","        108.40","    2896685","       3140.04","      27701","    1217936","         42.05"
"IDEA","EQ","04-Mar-2016","        108.35","        108.50","        109.35","        104.50","        105.80","        105.65","        106.34","    3907709","       4155.41","      26116","    1696677","         43.42"
"IDEA","EQ","08-Mar-2016","        105.65","        106.00","        107.10","        104.65","        105.60","        105.90","        105.28","    8377238","       8819.96","      26263","    6900386","         82.37"
"IDEA","EQ","09-Mar-2016","        105.90","        105.90","        107.25","        103.60","        105.45","        106.10","        105.35","    1909540","       2011.75","      13250","     633906","         33.20"
